,ticker,sector,company_name,market_cap,market_category,analyst_consensus,stock_outstanding
1620,CORT,healthcare,Corcept Therapeutics,2652227923,Medium,ModerateBuy,116172926.98204118
1621,SZHFF,industrialgoods,Sojitz,2649743223,Medium,,1172452753.539823
1622,UNPA,financial,UNB,2649584356,Medium,,22170398.761609904
1623,EUTLF,services,Eutelsat Communications,2646733107,Medium,StrongBuy,230150704.95652175
1624,KTOS,technology,Kratos Defense,2646622119,Medium,ModerateBuy,122756127.96846011
1625,OPK,healthcare,Opko Health,2646500094,Medium,ModerateBuy,670000023.7974683
1626,SPT,technology,Sprout Social,2644605271,Medium,StrongBuy,52934452.98238591
1627,CHSYF,healthcare,China Medical System Holdings,2643714270,Medium,,
1628,PZZA,services,Papa John's International,2643094678,Medium,StrongBuy,32952183.992020946
1629,TCO,financial,Taubman Centers,2639993219,Medium,Hold,61725349.988309555
1630,MANU,services,Manchester,2639614926,Medium,Hold,162939192.96296296
1631,IGT,services,International Game Technology,2634455413,Medium,ModerateBuy,204856563.9968896
1632,NTXVF,industrialgoods,Nexteer Automotive Group,2632922074,Medium,Hold,2437890809.259259
1633,AMBA,technology,Ambarella,2628954338,Medium,ModerateBuy,34614276.998025015
1634,CLALF,financial,Clal Insurance Enterprises Holdings,2628143230,Medium,,
1635,JAIRF,industrialgoods,Japan Airport Terminal Co,2627731493,Medium,,
1636,SMTUF,consumergoods,Sumitomo Rubber Industries,2627405544,Medium,,263003557.95795795
1637,KRTX,healthcare,Karuna Therapeutics,2626775402,Medium,StrongBuy,26806565.99653026
1638,CHX,industrialgoods,ChampionX,2623811636,Medium,StrongBuy,199833330.99771515
1639,VEON,technology,VEON,2623691106,Medium,StrongBuy,1749127404.0
1640,TARO,healthcare,Taro Pharmaceutical Industries,2623356339,Medium,ModerateBuy,38258076.98702057
1641,HWC,financial,Hancock Whitney,2622624504,Medium,StrongBuy,86412668.99505766
1642,TMPPF,financial,Times China Holdings,2621452950,Medium,,1941816999.9999998
1643,BBAVY,industrialgoods,Signature Aviation,2621190598,Medium,,206718501.41955838
1644,PD,technology,PagerDuty,2620528920,Medium,ModerateBuy,79530467.98179059
1645,BNL,financial,Broadstone Net Lease,2619186916,Medium,StrongBuy,144786451.96241018
1646,VLDR,financial,Velodyne Lidar,2618430353,Medium,StrongBuy,168713295.94072166
1647,CAR,financial,Avis Budget,2618003872,Medium,Hold,69683360.97950493
1648,BECN,industrialgoods,Beacon Roofing Supply,2616715943,Medium,ModerateBuy,69390504.98541501
